pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
"HD 70573",b,"HD 70573 b","Radial Velocity",0,1,851.8,11.6,-11.6,0,1,1.76,0.05,-0.05,0,1,0.4,0.1,-0.1,0,1,,,,,0,6.1,0.4,-0.4,0,1,Msini,,,,,0,,,,,0,0,0,0,08h22m49.95s,+01d51m33.6s,125.708135,2.0E-6,1.859323,3.0E-6,2,45.7,,,0,2,11.424,0.106,0,"V (Johnson)",8.543,,0,5737,70,-70,0,4,1,0.1,-0.1,0,3,,,,,2,0,2015-03-26,"La Silla Observatory"
"HD 70642",b,"HD 70642 b","Radial Velocity",0,1,2124.54,14.65,-13.51,0,4,3.318,0.022,-0.021,0,4,0.175,0.044,-0.044,0,4,,,,,0,1.993,0.018,-0.018,0,4,Msini,,,,,0,,,,,0,0,0,0,08h21m28.14s,-39d42m19.5s,125.367233,1.0E-6,-39.70541,1.0E-6,3,29.3,0.03,-0.03,0,5,7.169,,0,"V (Johnson)",6.992,,0,5732,23,-23,0,10,1.08,0.01,-0.01,0,9,0.98,0.02,-0.02,0,6,0,2019-06-27,"Anglo-Australian Telescope"
"HD 72659",b,"HD 72659 b","Radial Velocity",0,1,3658,32,-32,0,6,4.75,0.08,-0.08,0,5,0.22,0.03,-0.03,0,6,,,,,0,3.85,0.23,-0.23,0,6,Msini,,,,,0,,,,,0,0,0,0,08h34m03.19s,-01d34m05.6s,128.51329,2.0E-6,-1.568217,2.0E-6,2,51.97,0.14,-0.14,0,4,7.46,,0,"V (Johnson)",7.311,,0,5932,19,-19,0,7,1.43,0.11,-0.11,0,8,1.46,0.02,-0.02,0,5,0,2018-09-06,"W. M. Keck Observatory"
"HD 73267",b,"HD 73267 b","Radial Velocity",0,1,1245.36,2.81,-2.81,0,2,2.187,0.016,-0.016,0,2,0.23,0.014,-0.014,0,2,,,,,0,3.097,0.044,-0.043,0,2,Msini,,,,,0,,,,,0,0,0,0,08h36m17.78s,-34d27m35.9s,129.074066,2.0E-6,-34.45998,2.0E-6,2,54.91,3,-3,0,3,8.889,,0,"V (Johnson)",8.678,,0,5387,10,-10,0,3,0.9,0.02,-0.02,0,2,0.91,0.03,-0.03,0,3,0,2019-06-27,"La Silla Observatory"
"HD 177830",b,"HD 177830 b","Radial Velocity",0,2,410.10001,2.2,-2.2,0,3,1.14,0.03,-0.03,0,3,0.1,0.05,-0.05,0,3,,,,,0,1.69,0.2,-0.2,0,3,Msini,,,,,0,,,,,0,0,0,0,19h05m20.77s,+25d55m14.4s,286.336548,1.0E-6,25.92066,2.0E-6,2,62.88,0.12,-0.12,0,3,7.177,0.01,0,"V (Johnson)",6.887,,0,4901,37,-37,0,7,1.7,0.28,-0.28,0,6,3.26,0.12,-0.12,0,5,0,2018-09-06,"W. M. Keck Observatory"
"HD 177830",c,"HD 177830 c","Radial Velocity",0,2,110.9,0.1,-0.1,0,1,0.5137,0.0003,-0.0003,0,1,0.3,0.1,-0.1,0,1,,,,,0,0.15,0.02,-0.02,0,1,Msini,,,,,0,,,,,0,0,0,0,19h05m20.77s,+25d55m14.4s,286.336548,1.0E-6,25.92066,2.0E-6,2,62.88,0.12,-0.12,0,3,7.177,0.01,0,"V (Johnson)",6.887,,0,4901,37,-37,0,7,1.7,0.28,-0.28,0,6,3.26,0.12,-0.12,0,5,0,2019-01-31,"W. M. Keck Observatory"
"HD 178911 B",b,"HD 178911 B b","Radial Velocity",0,1,71.484,0.02,-0.02,0,4,0.34,0.01,-0.01,0,3,0.11,0,0,0,4,,,,,0,8.03,2.51,-2.51,0,4,Msini,,,,,0,,,,,0,0,0,0,19h09m03.11s,+34d35m59.5s,287.262939,3.0E-6,34.59985,3.0E-6,2,41.02,0.05,-0.05,0,4,7.792,0.012,0,"V (Johnson)",7.867,,0,5588,115,-115,0,4,1.24,0.58,-0.58,0,4,1.08,0.05,-0.05,0,2,0,2018-09-06,"W. M. Keck Observatory"
"HD 179079",b,"HD 179079 b","Radial Velocity",0,1,14.479,0.01,-0.01,0,3,0.1214,0.0068,-0.0068,0,3,0.049,0.087,-0.087,0,3,,,,,0,0.081,0.02,-0.02,0,3,Msini,,,,,0,,,,,0,0,0,0,19h11m09.83s,-02d38m18.2s,287.790955,2.0E-6,-2.638385,2.0E-6,2,69.85,0.39,-0.39,0,3,7.95,,0,"V (Johnson)",7.775,,0,5646,,,0,6,1.14,0.19,-0.19,0,5,1.63,0.09,-0.09,0,5,0,2018-09-27,"W. M. Keck Observatory"
"HD 179949",b,"HD 179949 b","Radial Velocity",0,1,3.092514,3.2E-5,-3.2E-5,0,3,0.0443,0.0026,-0.0026,0,3,0.022,0.015,-0.015,0,3,,,,,0,0.916,0.076,-0.076,0,3,Msini,,,,,0,,,,,0,0,0,0,19h15m33.23s,-24d10m45.7s,288.888458,2.0E-6,-24.179352,1.0E-6,3,27.48,0.06,-0.06,0,6,6.25,,0,"V (Johnson)",6.104,,0,6168,,,0,8,1.21,,,0,8,,,,,4,1,2014-07-09,"Anglo-Australian Telescope"
"HD 180314",b,"HD 180314 b","Radial Velocity",0,1,396.03,0.62,-0.62,0,2,1.46,0.06,-0.06,0,3,0.26,0.01,-0.01,0,2,,,,,0,20.13,1.66,-1.66,0,3,Msini,,,,,0,,,,,0,0,0,0,19h14m50.21s,+31d51m37.3s,288.709198,1.0E-6,31.86035,1.0E-6,2,122.79,0.45,-0.45,0,2,6.608,0.01,0,"V (Johnson)",6.342,,0,4924,25,-25,0,4,2.2,0.27,-0.27,0,4,8.13,0.3,-0.3,0,4,0,2018-09-06,"Subaru Telescope"
